source_file,source_sheet,source_row_number,source_category,dataset_from_file,zone_from_file,dataset,method,family,criterion,feature_set_id,num_features,selected_features,feature,selection_frequency,mean_rank,borda_score,rrf_score,cluster,tier,tier_label,zone,path
unsw_candidate_feature_sets.csv,,16,candidate_feature_sets,unsw,,unsw,chi2_xgboost,hybrid,q75,unsw__chi2_xgboost__q75__k33,33,synack;sbytes;dbytes;dloss;stcpb;ct_srv_dst;ct_src_dport_ltm;ct_flw_http_mthd;ct_dst_sport_ltm;spkts;dload;sloss;is_ftp_login;res_bdy_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;swin;sjit;dpkts;ct_dst_src_ltm;ct_ftp_cmd;proto;state;dur;sttl;dttl;service;sload;dwin;dtcpb;smeansz;dmeansz,,,,,,,,,,
unsw_candidate_feature_sets.csv,,17,candidate_feature_sets,unsw,,unsw,elasticnet_c0.1,embedded,elbow,unsw__elasticnet_c0.1__elbow__k8,8,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,18,candidate_feature_sets,unsw,,unsw,elasticnet_c0.1,embedded,q25,unsw__elasticnet_c0.1__q25__k11,11,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,19,candidate_feature_sets,unsw,,unsw,elasticnet_c0.1,embedded,q50,unsw__elasticnet_c0.1__q50__k22,22,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;ct_srv_src;ct_flw_http_mthd;state;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login,,,,,,,,,,
unsw_candidate_feature_sets.csv,,20,candidate_feature_sets,unsw,,unsw,elasticnet_c0.1,embedded,q75,unsw__elasticnet_c0.1__q75__k33,33,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;ct_srv_src;ct_flw_http_mthd;state;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login;dpkts;proto;dur;dwin;sloss;trans_depth;stime;swin;sjit;res_bdy_len;ct_dst_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,21,candidate_feature_sets,unsw,,unsw,elasticnet_c1.0,embedded,elbow,unsw__elasticnet_c1.0__elbow__k8,8,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit,,,,,,,,,,
unsw_candidate_feature_sets.csv,,22,candidate_feature_sets,unsw,,unsw,elasticnet_c1.0,embedded,q25,unsw__elasticnet_c1.0__q25__k11,11,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss,,,,,,,,,,
unsw_candidate_feature_sets.csv,,23,candidate_feature_sets,unsw,,unsw,elasticnet_c1.0,embedded,q50,unsw__elasticnet_c1.0__q50__k22,22,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;state;ct_srv_src;ct_flw_http_mthd;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login,,,,,,,,,,
unsw_candidate_feature_sets.csv,,24,candidate_feature_sets,unsw,,unsw,elasticnet_c1.0,embedded,q75,unsw__elasticnet_c1.0__q75__k33,33,synack;dload;dbytes;sbytes;stcpb;spkts;ct_src_dport_ltm;djit;sintpkt;sttl;dloss;ct_state_ttl;ct_srv_dst;tcprtt;state;ct_srv_src;ct_flw_http_mthd;ct_dst_sport_ltm;dtcpb;ltime;is_sm_ips_ports;is_ftp_login;dpkts;proto;dur;dwin;sloss;trans_depth;stime;swin;res_bdy_len;sjit;dttl,,,,,,,,,,
unsw_candidate_feature_sets.csv,,25,candidate_feature_sets,unsw,,unsw,fisher,filter,elbow,unsw__fisher__elbow__k3,3,sbytes;synack;ct_dst_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,26,candidate_feature_sets,unsw,,unsw,fisher,filter,q25,unsw__fisher__q25__k11,11,sbytes;synack;ct_dst_ltm;ct_srv_dst;ct_srv_src;ct_flw_http_mthd;ct_state_ttl;ct_ftp_cmd;ct_src_dport_ltm;is_ftp_login;dload,,,,,,,,,,
unsw_candidate_feature_sets.csv,,27,candidate_feature_sets,unsw,,unsw,fisher,filter,q50,unsw__fisher__q50__k22,22,sbytes;synack;ct_dst_ltm;ct_srv_dst;ct_srv_src;ct_flw_http_mthd;ct_state_ttl;ct_ftp_cmd;ct_src_dport_ltm;is_ftp_login;dload;spkts;stcpb;sjit;res_bdy_len;ct_dst_src_ltm;ct_dst_sport_ltm;swin;dpkts;dloss;sloss;ltime,,,,,,,,,,
unsw_candidate_feature_sets.csv,,28,candidate_feature_sets,unsw,,unsw,fisher,filter,q75,unsw__fisher__q75__k33,33,sbytes;synack;ct_dst_ltm;ct_srv_dst;ct_srv_src;ct_flw_http_mthd;ct_state_ttl;ct_ftp_cmd;ct_src_dport_ltm;is_ftp_login;dload;spkts;stcpb;sjit;res_bdy_len;ct_dst_src_ltm;ct_dst_sport_ltm;swin;dpkts;dloss;sloss;ltime;dintpkt;sintpkt;service;dbytes;sload;dttl;dur;sttl;dwin;trans_depth;dtcpb,,,,,,,,,,
unsw_candidate_feature_sets.csv,,29,candidate_feature_sets,unsw,,unsw,fisher_lightgbm,hybrid,elbow,unsw__fisher_lightgbm__elbow__k12,12,sloss;sjit;swin;dpkts;stcpb;ct_state_ttl;ltime;dloss;ct_flw_http_mthd;ct_dst_ltm;ct_ftp_cmd;ct_dst_sport_ltm,,,,,,,,,,
unsw_candidate_feature_sets.csv,,30,candidate_feature_sets,unsw,,unsw,fisher_lightgbm,hybrid,q25,unsw__fisher_lightgbm__q25__k11,11,sloss;sjit;swin;dpkts;stcpb;ct_state_ttl;ltime;dloss;ct_flw_http_mthd;ct_dst_ltm;ct_ftp_cmd,,,,,,,,,,
unsw_candidate_feature_sets.csv,,31,candidate_feature_sets,unsw,,unsw,fisher_lightgbm,hybrid,q50,unsw__fisher_lightgbm__q50__k22,22,sloss;sjit;swin;dpkts;stcpb;ct_state_ttl;ltime;dloss;ct_flw_http_mthd;ct_dst_ltm;ct_ftp_cmd;ct_dst_sport_ltm;sbytes;is_ftp_login;synack;ct_srv_dst;ct_srv_src;res_bdy_len;ct_src_dport_ltm;dload;ct_dst_src_ltm;spkts,,,,,,,,,,
